Party,Constituency,Candidate Name,Reason
BJP,बथनाहा),अनिल कुमार राम,Constituency name has extra parenthesis
BJP,राजनगर),सुजीत पासवान,Constituency name has extra parenthesis
BJP,बनमनखी),कृष्ण कुमार ऋषि,Constituency name has extra parenthesis
BJP,कोढ़ा),कविता देवी,Constituency name has extra parenthesis
BJP,बैकुण्ठपुर,मिथिलेश तिवारी,Spelling variation - should be बैकुंठपुर
BJP,सिवान,मंगल पांडेय,Spelling variation - should be सिवान
BJP,गोरेयाकोठी,देवेश कांत सिंह,Spelling variation - should be गोरियाकोठी
BJP,पातेपुर),लखेंद्र कुमार रौशन,Constituency name has extra parenthesis
BJP,बछवारा,सुरेन्द्र मेहता,Spelling variation - should be बछवाड़ा
BJP,तेघरा,रजनीश कुमार,Constituency not found in database
BJP,कटोरिया),पूरण लाल टुडू,Constituency name has extra parenthesis
BJP,बड़हरा,राघवेंद्र प्रताप सिंह,Spelling variation - should be बरहरा
BJP,गया शहर,डॉ. प्रेम कुमार,Spelling variation - should be गया टाउन
BJP,वारसलीगंज,श्रीमती अरुणा देवी,Spelling variation - should be वारिसलीगंज
BJP,हयाघाट,राम चंद्र प्रसाद,Spelling variation - should be हायाघाट
BJP,रोसड़ा,बीरेंद्र कुमार,Should be रोसड़ा (अजा)
BJP,रामनगर,नंद किशोर राम,Should be रामनगर (अजा)
BJP,बायसी,विनोद यादव,Spelling variation - should be बैसी
BJP,मोहनीया,श्रीमती संगीता कुमारी,Spelling variation - should be मोहनिया (अजा)
JDU,सोनबरसा,रत्,Incomplete candidate name
JDU,सकरा,आदित्,Incomplete candidate name
JDU,बड़हरिया,इन्द्रदेव पटेल,Spelling variation - should be बरहरिया
JDU,महराजगंज,हेम नारायण साह,Constituency not found in database
JDU,सराय रंजन,विजय कुमार चौधरी,Spelling variation - should be सरायरंजन
JDU,चेरिया बरियारपुर,अभिषेक कुमार,Spelling variation
JDU,अलौली,रामचंद्र सदा,Should be आलौली (अजा)
JDU,नालन्दा,श्रवण कुमार,Spelling variation - should be नालंदा
JDU,राजपुर,संतोष कुमार निराला,Should be राजपुर (अजा)
JDU,सुरसंड,नागेन्द्र राउत,Constituency not found
JDU,हरनाखी,सुधांशु शेखर,Constituency not found in database
JDU,त्रिवेणीगंज,श्रीमती सोनम रानी सरदार,Should be त्रिवेणीगंज (अजा)
JDU,अमीर,सबा जफर,Spelling variation - should be अमौर
JDU,मनिहारी,शंभु सुमन,Should be मनिहारी (अनुसूचित जनजाति)
JDU,बराड़ी,विजय सिंह निषाद,Spelling variation - should be बरारी
JDU,कराहर,बशिष्ठ सिंह,Spelling variation - should be करगहर
JDU,कुरथी,पप्पू कुमार वर्मा,Spelling variation - should be कुर्था
JDU,नवीनगर,चेतन आनंद,Spelling variation - should be नबीनगर
JDU,बेलानगर,श्रीमती मनोरमा देवी,Spelling variation - should be बेलागंज
JAN_SURAJ,सुरसंड,उषा किरण,Constituency not found
JAN_SURAJ,आलमनगर,सुभाष कुमार सुमन,Spelling variation - should be आलम नगर
JAN_SURAJ,दरौंधा,सत्येन्द्र कुमार यादव,Spelling variation - should be दरौंदा
JAN_SURAJ,मंझी,यदु वंश गिरी,Spelling variation - should be मांझी
JAN_SURAJ,काराकट,रितेश रंजन (पांडेय),Spelling variation
JAN_SURAJ,नविनगर,अर्चना चंद्रा,Spelling variation - should be नबीनगर
JAN_SURAJ,त्रिवेणीगंज,प्रदीप राम,Should be त्रिवेणीगंज (अजा)
JAN_SURAJ,मनिहारी,बबलू सोरेन,Should be मनिहारी (अनुसूचित जनजाति)
JAN_SURAJ,कोरहा,निर्मल कुमार राज,Should be कोढ़ा (अजा)
JAN_SURAJ,सोनबर्षा,सत्येन्द्र हाजरा,Spelling variation - should be सोनबरसा (अजा)
JAN_SURAJ,कुशेश्वर अस्थान,शत्रुधन पासवान,Spelling variation - should be कुशेश्वर स्थान (अजा)
JAN_SURAJ,गौरा बुरम,डॉ. इफ्तकार आलम,Spelling variation - should be गौरा बौराम
JAN_SURAJ,बड़हरिया,डॉ. शाहनवाज,Spelling variation - should be बरहरिया
JAN_SURAJ,राजा पाकर,मुकेश कुमार राम,Should be राजा पाकर (अजा)
JAN_SURAJ,पटेपुर,दशई चौधरी,Spelling variation - should be पातेपुर (अजा)
JAN_SURAJ,रोसेरा,रोहित पासवान,Spelling variation - should be रोसड़ा (अजा)
JAN_SURAJ,छेरियाबरियापुर,डॉ. मृत्युंजय,Spelling variation
JAN_SURAJ,अलौली,अभिषेक कुमार,Should be आलौली (अजा)
JAN_SURAJ,सूर्याग्रह,अमित सागर,Spelling variation - should be सूर्यगढ़ा
LJPRV,गोविंदगंज,राजू तिवारी,Constituency not found
LJPRV,गोविन्दपुर,श्रीमती बिनीता मेहता,Spelling variation
LJPRV,कसबा,नितेश कुमार सिंह,Spelling variation - should be कस्बा
HAMS,सिकंदरा,प्रफुल्ल कुमार मांझी,Should be सिकन्दरा (अजा)
AAP,गोविंदगंज,अशोक कुमार सिंह,Constituency not found
AAP,सुरसंड,ऋषि कुमार अग्रवाल,Constituency not found
AAP,मनिहारी (ST),मालिनी मंडल,Should be मनिहारी (अनुसूचित जनजाति)
AAP,बिभूतिपुर,अरुण कुमार,Constituency not found in database
AAP,मसौढ़ी (SC),विकास पासवान,Should be मसौढ़ी (अजा)
AAP,कुर्था,उमाशंकर शरण,Constituency not found in database
AAP,सिकंदरा,राहुल राणा,Should be सिकन्दरा (अजा)
AIMIM,सिकंदरा,मनोज कुमार दास,Should be सिकन्दरा (अजा)
CPIML,अरराह,क़यामुद्दीन अंसारी,Constituency not found in database
JJD,बिक्रमगंज,डॉ. गुलशन यादव,Spelling variation - should be बिक्रम
JJD,बिक्रमगंज,अजीत कुशवाहा,Spelling variation - should be बिक्रम
VIP,गौड़ाबौराम,श्री संतोष सहनी,Spelling variation - should be गौरा बौराम
VIP,आलमनगर,श्री नवीन कुमार,Spelling variation - should be आलम नगर
INC,गोविंदगंज,शशि भूषण राय,Constituency not found
INC,बथनाहा-SC,ई. नवीन कुमार,Should be बथनाहा (अजा)
INC,फोरबिसगंज,मनोज विश्वास,Spelling variation - should be फारबिसगंज
INC,मनहारी-ST,मनोहर प्रसाद सिंह,Should be मनिहारी (अनुसूचित जनजाति)
INC,बछवारा,शिव प्रकाश गरीब दास,Spelling variation - should be बछवाड़ा
INC,सिकंदरा (SC),विनोद चौधरी,Should be सिकन्दरा (अजा)
RJD,कुरहनी,बबलू कुशवाहा,Spelling variation - should be कुढ़नी
RJD,बाराुली,दिलीप सिंह,Spelling variation - should be बरौली
RJD,महराजगंज,विशाल जायसवाल,Constituency not found in database
RJD,मरहौरा,जितेन्द्र राय,Constituency not found in database
RJD,आलाउली (SC),रामविरकिश सदा,Should be आलौली (अजा)
RJD,मसौढ़ी (SC),रेखा पासवान,Should be मसौढ़ी (अजा)
RJD,सन्देश,दिपु रावत,Spelling variation - should be संदेश
RJD,शेओहर,नवनीत झा,Spelling variation - should be शिवहर
RJD,सुरसंड,सैयद अबू दोजाना,Constituency not found
RJD,रुपौली,बीमा भारती,Spelling variation - should be रूपौली
RJD,पिरपैंती (SC),राम विलास पासवान,Should be पीरपैंती (अजा)
RJD,नथनगर,शेख ज़ेयौल हसन,Spelling variation - should be नाथनगर
RJD,कटोरिया (ST),स्वीटी सीमा हेमब्रम,Should be कटोरिया (अनुसूचित जनजाति)
RJD,नरहट,अजीत सिंह,Constituency not found in database
RJD,कुर्था,सुदय यादव,Constituency not found in database
RJD,सिकंदरा (SC),उदय नारायण चौधरी,Should be सिकन्दरा (अजा)
